city,Name,CityID,TownID,Flood,Lv1_12H,Lv1_1H,Lv1_24H,Lv1_3H,Lv1_6H,Lv2_12H,Lv2_1H,Lv2_24H,Lv2_3H,Lv2_6H,Murgang,SlopeLand
桃園市,八德區,68,6800800,300,210,60,350,110,160,180,50,300,100,140,,
桃園市,大園區,68,6800600,250,210,50,300,110,160,180,40,250,100,140,,
桃園市,大溪區,68,6800300,250,220,60,300,120,180,190,50,250,110,160,550,310
桃園市,中壢區,68,6800200,250,220,50,300,110,170,190,40,250,100,150,,
桃園市,平鎮區,68,6801000,250,220,50,300,110,170,190,40,250,100,150,,
桃園市,桃園區,68,6800100,250,210,60,300,110,150,180,50,250,100,130,550,445
桃園市,復興區,68,6801300,350,330,80,400,140,210,300,70,350,130,190,300,310
桃園市,新屋區,68,6801100,300,230,70,350,140,180,200,60,300,130,160,,
桃園市,楊梅區,68,6800400,250,220,50,300,120,160,190,40,250,110,140,,445
桃園市,龍潭區,68,6800900,350,310,70,400,140,190,280,60,350,130,170,,445
桃園市,龜山區,68,6800700,250,210,50,300,100,160,180,40,250,90,140,550,445
桃園市,蘆竹區,68,6800500,250,210,50,300,100,160,180,40,250,90,140,,445
桃園市,觀音區,68,6801200,250,210,60,300,120,160,180,50,250,110,140,,
台南市,七股區,67,6701500,250,200,50,300,90,140,170,40,250,80,120,,
台南市,下營區,67,6700800,300,250,70,350,110,180,220,60,300,100,160,,
台南市,大內區,67,6701100,400,350,70,450,150,230,320,60,400,140,210,,385
台南市,山上區,67,6702200,350,300,70,400,140,230,270,60,350,130,210,,385
台南市,中西區,67,6703700,250,210,60,300,110,150,180,50,250,100,130,,
台南市,仁德區,67,6702700,250,210,60,300,100,150,180,50,250,90,130,,
台南市,六甲區,67,6700900,300,250,70,350,120,170,220,60,300,110,150,600,450
台南市,北門區,67,6701700,250,210,50,300,100,140,180,40,250,90,120,,
台南市,北區,67,6703400,250,210,60,300,120,150,180,50,250,110,130,,
台南市,左鎮區,67,6702600,350,300,70,400,140,230,270,60,350,130,210,,385
台南市,永康區,67,6703100,250,210,50,300,100,140,180,40,250,90,120,,
台南市,玉井區,67,6702300,350,300,80,400,150,220,270,70,350,140,200,550,385
台南市,白河區,67,6700300,300,250,70,350,130,170,220,60,300,120,150,500,385
台南市,安平區,67,6703600,250,200,60,300,110,150,170,50,250,100,130,,
台南市,安定區,67,6702100,300,250,60,350,120,170,220,50,300,110,150,,
台南市,安南區,67,6703500,300,210,50,350,100,150,180,40,300,90,130,,
台南市,西港區,67,6701400,300,250,70,350,110,170,220,60,300,100,150,,
台南市,佳里區,67,6701200,300,250,70,350,110,170,220,60,300,100,150,,
台南市,官田區,67,6701000,250,210,60,300,100,150,180,50,250,90,130,,450
台南市,東山區,67,6700600,300,270,70,350,120,160,240,60,300,110,140,350,330
台南市,東區,67,6703200,250,210,60,300,110,150,180,50,250,100,130,,
台南市,南化區,67,6702500,400,350,80,450,150,220,320,70,400,140,200,300,330
台南市,南區,67,6703300,250,210,60,300,110,150,180,50,250,100,130,,
台南市,後壁區,67,6700500,300,200,60,350,100,140,170,50,300,90,120,,
台南市,柳營區,67,6700400,300,250,70,350,130,180,220,60,300,120,160,,385
台南市,將軍區,67,6701600,250,210,50,300,100,140,180,40,250,90,120,,
台南市,麻豆區,67,6700700,250,210,60,300,110,150,180,50,250,100,130,,
台南市,善化區,67,6701900,300,250,60,350,130,180,220,50,300,120,160,,
台南市,新化區,67,6701800,300,280,70,350,130,200,250,60,300,120,180,,385
台南市,新市區,67,6702000,300,250,60,350,120,170,220,50,300,110,150,,
台南市,新營區,67,6700100,250,230,60,300,120,160,200,50,250,110,140,,
台南市,楠西區,67,6702400,400,380,80,450,160,250,350,70,400,150,230,450,385
台南市,學甲區,67,6701300,250,210,60,300,100,140,180,50,250,90,120,,
台南市,龍崎區,67,6703000,400,350,80,450,150,240,320,70,400,140,220,550,385
台南市,歸仁區,67,6702800,250,220,60,300,100,150,190,50,250,90,130,,
台南市,關廟區,67,6702900,300,230,70,350,120,150,200,60,300,110,130,,450
台南市,鹽水區,67,6700200,250,210,60,300,100,140,180,50,250,90,120,,
台中市,大甲區,66,6601100,300,250,60,350,120,180,220,50,300,110,160,,
台中市,大安區,66,6602200,300,260,60,350,120,180,230,50,300,110,160,,
台中市,大肚區,66,6602400,250,210,50,300,100,130,180,40,250,90,110,,
台中市,大里區,66,6602800,300,280,60,350,130,200,250,50,300,120,180,,335
台中市,大雅區,66,6601800,250,230,70,300,110,170,200,60,250,100,150,,
台中市,中區,66,6600100,300,280,60,350,120,200,250,50,300,110,180,,
台中市,太平區,66,6602700,300,270,70,350,130,180,240,60,300,120,160,450,275
台中市,北屯區,66,6600800,300,250,70,350,110,190,220,60,300,100,170,450,275
台中市,北區,66,6600500,300,280,60,350,120,200,250,50,300,110,180,,
台中市,外埔區,66,6602100,350,280,70,400,130,180,250,60,350,120,160,550,335
台中市,石岡區,66,6602000,350,300,70,400,130,200,270,60,350,120,180,,275
台中市,后里區,66,6601500,350,300,70,400,120,180,270,60,350,110,160,,335
台中市,西屯區,66,6600600,300,280,60,350,120,200,250,50,300,110,180,,
台中市,西區,66,6600400,300,280,70,350,130,190,250,60,300,120,170,,
台中市,沙鹿區,66,6601300,300,230,60,350,120,170,200,50,300,110,150,600,425
台中市,和平區,66,6602900,400,350,80,450,140,240,320,70,400,130,220,300,225
台中市,東區,66,6600200,300,280,60,350,120,190,250,50,300,110,170,,
台中市,東勢區,66,6601000,350,300,70,400,140,200,270,60,350,130,180,300,225
台中市,南屯區,66,6600700,300,280,60,350,120,200,250,50,300,110,180,,
台中市,南區,66,6600300,300,280,60,350,130,200,250,50,300,120,180,,
台中市,烏日區,66,6602300,250,210,60,300,110,150,180,50,250,100,130,,
台中市,神岡區,66,6601600,300,270,70,350,130,200,240,60,300,120,180,,
台中市,梧棲區,66,6601400,300,280,60,350,120,180,250,50,300,110,160,,
台中市,清水區,66,6601200,300,260,60,350,120,180,230,50,300,110,160,600,335
台中市,新社區,66,6601900,350,310,80,400,140,230,280,70,350,130,210,350,225
台中市,潭子區,66,6601700,300,270,60,350,130,200,240,50,300,120,180,550,335
台中市,龍井區,66,6602500,250,210,60,300,110,140,180,50,250,100,120,,425
台中市,豐原區,66,6600900,300,270,60,350,130,200,240,50,300,120,180,,275
台中市,霧峰區,66,6602600,300,280,70,350,120,170,250,60,300,110,150,500,275
新北市,八里區,65,6502300,300,240,60,350,120,160,210,50,300,110,140,550,550
新北市,三芝區,65,6502100,300,240,70,350,120,160,210,60,300,110,140,550,430
新北市,三重區,65,6500200,250,220,50,300,110,160,190,40,250,100,140,,
新北市,三峽區,65,6500900,300,250,70,350,130,190,220,60,300,120,170,450,340
新北市,土城區,65,6501300,250,200,60,300,110,150,170,50,250,100,130,550,550
新北市,中和區,65,6500300,250,220,60,300,110,150,190,50,250,100,130,550,550
新北市,五股區,65,6501500,200,200,50,250,90,130,170,40,200,80,110,500,430
新北市,平溪區,65,6502400,400,350,80,450,150,230,320,70,400,140,210,550,550
新北市,永和區,65,6500400,250,220,60,300,110,150,190,50,250,100,130,,
新北市,石門區,65,6502200,350,330,80,400,150,210,300,70,350,140,190,500,430
新北市,石碇區,65,6501900,400,350,80,450,140,220,320,70,400,130,200,500,430
新北市,汐止區,65,6501100,250,210,50,300,110,150,180,40,250,100,130,500,430
新北市,坪林區,65,6502000,350,330,80,400,140,220,300,70,350,130,200,,340
新北市,板橋區,65,6500100,250,200,50,300,120,150,170,40,250,110,130,,
新北市,林口區,65,6501700,250,220,60,300,110,160,190,50,250,100,140,,565
新北市,金山區,65,6502700,400,330,70,450,130,210,300,60,400,120,190,500,430
新北市,泰山區,65,6501600,250,220,60,300,110,160,190,50,250,100,140,500,430
新北市,烏來區,65,6502900,400,310,70,450,140,230,280,60,400,130,210,,340
新北市,貢寮區,65,6502600,350,280,70,400,160,210,250,60,350,150,190,600,560
新北市,淡水區,65,6501000,300,230,60,350,110,150,200,50,300,100,130,550,430
新北市,深坑區,65,6501800,400,350,70,450,140,230,320,60,400,130,210,500,430
新北市,新店區,65,6500600,300,250,60,350,130,170,220,50,300,120,150,,340
新北市,新莊區,65,6500500,250,200,50,300,110,150,170,40,250,100,130,550,550
新北市,瑞芳區,65,6501200,350,280,60,400,130,180,250,50,350,120,160,500,430
新北市,萬里區,65,6502800,400,350,70,450,140,250,320,60,400,130,230,550,550
新北市,樹林區,65,6500700,250,200,60,300,110,150,170,50,250,100,130,600,560
新北市,雙溪區,65,6502500,400,350,70,450,160,210,320,60,400,150,190,550,550
新北市,蘆洲區,65,6501400,250,210,60,300,100,140,180,50,250,90,120,,
新北市,鶯歌區,65,6500800,300,250,60,350,130,170,210,50,300,120,150,500,430
高雄市,三民區,64,6400500,300,230,70,350,120,170,200,60,300,110,150,,
高雄市,大社區,64,6401600,300,250,60,350,120,170,220,50,300,110,150,,660
高雄市,大寮區,64,6401400,300,280,60,350,120,180,250,50,300,110,160,,
高雄市,大樹區,64,6401500,350,320,60,400,130,210,290,50,350,120,190,,405
高雄市,小港區,64,6401100,300,250,60,350,120,180,220,50,300,110,160,,
高雄市,仁武區,64,6401700,300,250,50,350,100,150,220,40,300,90,130,,660
高雄市,內門區,64,6403500,400,350,80,450,160,250,320,70,400,150,230,550,350
高雄市,六龜區,64,6403200,400,330,70,450,150,220,300,60,400,140,200,350,290
高雄市,左營區,64,6400300,300,230,60,350,120,160,200,50,300,110,140,,
高雄市,永安區,64,6402700,250,230,60,300,110,170,200,50,250,100,150,,
高雄市,田寮區,64,6402200,350,300,70,400,140,220,270,60,350,130,200,600,405
高雄市,甲仙區,64,6403300,350,330,70,400,150,220,300,60,350,140,200,400,290
高雄市,杉林區,64,6403400,350,280,80,400,130,200,250,70,350,120,180,450,350
高雄市,那瑪夏區,64,6403800,350,330,70,400,150,220,300,60,350,140,200,300,250
高雄市,岡山區,64,6401900,250,210,60,300,110,160,180,50,250,100,140,600,405
高雄市,林園區,64,6401300,300,250,70,350,130,180,220,60,300,120,160,,
高雄市,阿蓮區,64,6402300,250,230,60,300,110,170,200,50,250,100,150,650,470
高雄市,前金區,64,6400700,300,230,60,350,120,170,200,50,300,110,150,,
高雄市,前鎮區,64,6400900,300,250,70,350,120,170,220,60,300,110,150,,
高雄市,美濃區,64,6403100,300,250,60,350,140,190,220,50,300,130,170,500,350
高雄市,苓雅區,64,6400800,300,230,60,350,120,170,200,50,300,110,150,,
高雄市,茂林區,64,6403600,450,350,80,500,170,250,320,70,450,160,230,400,350
高雄市,茄萣區,64,6402600,300,250,70,350,130,160,220,60,300,120,140,,
高雄市,桃源區,64,6403700,350,330,70,400,150,220,300,60,350,140,200,300,250
高雄市,梓官區,64,6402900,250,230,60,300,110,170,200,50,250,100,150,,
高雄市,鳥松區,64,6401800,300,250,50,350,120,170,220,40,300,110,150,,660
高雄市,湖內區,64,6402500,300,250,60,350,120,170,220,50,300,110,150,,
高雄市,新興區,64,6400600,300,230,60,350,120,170,200,50,300,110,150,,
高雄市,楠梓區,64,6400400,300,230,60,350,120,170,200,50,300,110,150,,
高雄市,路竹區,64,6402400,250,230,60,300,110,170,200,50,250,100,150,,
高雄市,鼓山區,64,6400200,300,230,60,350,120,170,200,50,300,110,150,550,470
高雄市,旗山區,64,6403000,350,300,70,400,130,220,270,60,350,120,200,500,405
高雄市,旗津區,64,6401000,300,250,70,350,120,170,220,60,300,110,150,,
高雄市,鳳山區,64,6401200,300,250,60,350,130,180,220,50,300,120,160,,
高雄市,橋頭區,64,6402000,250,230,60,300,120,150,200,50,250,110,130,,
高雄市,燕巢區,64,6402100,300,250,60,350,120,160,220,50,300,110,140,,405
高雄市,彌陀區,64,6402800,250,230,60,300,110,170,200,50,250,100,150,,
高雄市,鹽埕區,64,6400100,300,230,60,350,120,170,200,50,300,110,150,,
台北市,士林區,63,6301100,300,250,60,350,110,170,220,50,300,100,150,500,430
台北市,大同區,63,6300600,300,300,70,350,120,170,270,60,300,110,150,,
台北市,大安區,63,6300300,300,280,70,350,110,160,250,60,300,100,140,,430
台北市,中山區,63,6300400,300,270,70,350,110,170,240,60,300,100,150,550,550
台北市,中正區,63,6300500,300,250,70,350,120,170,220,60,300,110,150,,
台北市,內湖區,63,6301000,300,280,70,350,120,180,250,60,300,110,160,500,500
台北市,文山區,63,6300800,300,240,60,350,110,170,210,50,300,100,150,500,500
台北市,北投區,63,6301200,300,280,60,350,120,180,250,50,300,110,160,500,500
台北市,松山區,63,6300100,300,300,70,350,120,180,270,60,300,110,160,,
台北市,信義區,63,6300200,350,330,60,400,110,170,300,50,350,100,150,600,560
台北市,南港區,63,6300900,300,280,70,350,130,180,250,60,300,120,160,600,560
台北市,萬華區,63,6300700,350,330,60,400,120,170,300,50,350,110,150,,
嘉義市,西區,10020,1002002,250,230,60,300,110,160,200,50,250,100,140,,
嘉義市,東區,10020,1002001,250,230,60,300,110,160,200,50,250,100,140,,
新竹市,北區,10018,1001802,250,220,60,300,120,170,190,50,250,110,150,,
新竹市,東區,10018,1001801,250,220,60,300,120,170,190,50,250,110,150,,
新竹市,香山區,10018,1001803,250,220,60,300,120,170,190,50,250,110,150,,
基隆市,七堵區,10017,1001702,250,250,60,300,100,160,220,50,250,90,140,550,430
基隆市,中山區,10017,1001705,250,210,50,300,100,150,180,40,250,90,130,550,430
基隆市,中正區,10017,1001701,250,230,50,300,110,160,200,40,250,100,140,550,430
基隆市,仁愛區,10017,1001704,250,210,50,300,100,150,180,40,250,90,130,600,560
基隆市,安樂區,10017,1001706,300,280,60,350,120,180,250,50,300,110,160,600,560
基隆市,信義區,10017,1001707,250,210,50,300,100,150,180,40,250,90,130,600,560
基隆市,暖暖區,10017,1001703,300,250,60,350,120,180,220,50,300,110,160,550,430
澎湖縣,七美鄉,10016,1001606,,,,,,,,,,,,,
澎湖縣,白沙鄉,10016,1001603,350,300,70,400,130,220,270,60,350,120,200,,
澎湖縣,西嶼鄉,10016,1001604,350,300,70,400,130,220,270,60,350,120,200,,
澎湖縣,馬公市,10016,1001601,300,280,60,350,130,200,250,50,300,120,180,,
澎湖縣,望安鄉,10016,1001605,350,300,70,400,130,220,270,60,350,120,200,,
澎湖縣,湖西鄉,10016,1001602,300,280,60,350,130,200,250,50,300,120,180,,
花蓮縣,玉里鎮,10015,1001503,400,350,80,450,160,250,320,70,400,150,230,600,520
花蓮縣,光復鄉,10015,1001507,350,300,70,400,140,200,270,60,350,130,180,450,380
花蓮縣,吉安鄉,10015,1001505,300,250,50,350,100,140,220,40,300,90,120,450,550
花蓮縣,秀林鄉,10015,1001511,400,350,80,450,150,250,320,70,400,140,230,350,380
花蓮縣,卓溪鄉,10015,1001513,400,350,70,450,130,200,320,60,400,120,180,600,600
花蓮縣,花蓮市,10015,1001501,250,230,50,300,110,150,200,40,250,100,130,500,600
花蓮縣,富里鄉,10015,1001510,350,300,70,400,130,200,270,60,350,120,180,600,520
花蓮縣,新城鄉,10015,1001504,300,250,60,350,130,190,220,50,300,120,170,,700
